iter	RMSE
0	7447.073902
1	7422.889407
2	7398.872994
3	7372.943624
4	7348.387649
5	7325.095631
6	7300.151602
7	7276.15985
8	7252.215643
9	7229.895537
10	7207.099624
11	7184.774071
12	7162.304602
13	7140.691222
14	7119.734089
15	7098.828371
16	7078.183754
17	7058.523436
18	7036.676945
19	7017.164287
20	6996.610443
21	6976.591128
22	6955.946639
23	6937.285192
24	6917.871833
25	6899.578467
26	6880.623469
27	6862.912796
28	6846.124864
29	6829.173097
30	6811.792043
31	6796.050641
32	6779.137836
33	6761.902917
34	6743.302999
35	6726.40913
36	6708.808489
37	6691.035449
38	6672.715071
39	6657.772834
40	6642.889507
41	6625.726993
42	6611.133638
43	6595.962288
44	6579.209846
45	6565.219875
46	6552.003379
47	6537.728553
48	6523.283985
49	6509.503208
50	6496.492222
51	6482.514142
52	6468.468615
53	6455.260958
54	6440.683405
55	6428.745209
56	6415.972682
57	6403.590598
58	6389.297516
59	6375.864739
60	6364.388572
61	6351.42416
62	6338.775179
63	6324.435003
64	6311.49233
65	6300.988507
66	6290.925855
67	6280.580277
68	6269.047904
69	6258.688082
70	6245.700525
71	6235.157544
72	6222.589236
73	6212.22622
74	6200.557194
75	6189.1056
76	6177.868018
77	6168.021398
78	6159.006852
79	6147.912933
80	6138.642377
81	6128.962425
82	6118.806706
83	6109.344165
84	6099.510836
85	6090.09118
86	6079.075557
87	6069.991675
88	6058.892573
89	6047.130106
90	6036.636593
91	6029.481197
92	6020.54283
93	6011.17047
94	6001.954121
95	5993.224975
96	5983.162105
97	5972.827537
98	5964.407432
99	5955.938834
100	5944.916626
101	5936.57965
102	5926.827448
103	5916.22542
104	5907.073318
105	5897.20353
106	5889.085061
107	5880.678637
108	5873.761289
109	5865.019026
110	5855.104237
111	5848.085776
112	5840.657139
113	5834.312323
114	5824.55006
115	5815.201347
116	5807.114259
117	5798.699583
118	5789.881695
119	5782.019599
120	5774.139273
121	5767.568625
122	5759.339456
123	5752.175569
124	5746.180598
125	5740.115277
126	5733.119723
127	5726.174733
128	5720.368354
129	5714.558078
130	5708.535435
131	5700.517462
132	5693.37214
133	5686.574721
134	5679.442821
135	5673.149924
136	5666.244884
137	5659.551901
138	5651.942039
139	5645.555734
140	5638.927795
141	5632.441537
142	5625.865345
143	5619.74286
144	5613.017545
145	5608.309929
146	5602.617442
147	5596.344482
148	5591.834829
149	5585.932097
150	5578.995654
151	5571.744277
152	5566.267248
153	5560.975007
154	5554.984967
155	5550.525988
156	5545.791159
157	5539.601378
158	5534.812137
159	5527.987292
160	5522.109718
161	5518.269842
162	5512.653115
163	5506.376676
164	5501.865792
165	5496.585745
166	5491.531329
167	5486.820379
168	5482.987144
169	5477.550153
170	5473.964052
171	5468.289723
172	5463.749968
173	5458.939364
174	5451.859507
175	5447.481554
176	5442.991307
177	5437.98723
178	5432.364094
179	5427.570821
180	5423.697772
181	5419.850193
182	5413.759544
183	5409.636656
184	5405.47081
185	5400.768065
186	5393.284825
187	5387.534955
188	5384.187478
189	5378.941728
190	5374.718636
191	5369.807182
192	5366.217649
193	5361.013258
194	5356.905689
195	5353.886302
196	5350.48569
197	5347.251038
198	5341.025463
199	5335.979781
200	5332.918574
201	5328.0363
202	5323.739914
203	5318.289084
204	5315.665727
205	5310.535087
206	5306.358072
207	5301.853874
208	5298.030929
209	5294.330466
210	5290.529138
211	5285.772472
212	5281.564306
213	5278.193437
214	5274.385327
215	5271.580952
216	5268.510395
217	5264.786919
218	5261.609505
219	5258.055116
220	5254.537057
221	5250.46692
222	5246.514851
223	5242.321
224	5239.143089
225	5235.06629
226	5231.458181
227	5227.442272
228	5222.848356
229	5219.786543
230	5215.305988
231	5211.810098
232	5207.725319
233	5205.537903
234	5200.091146
235	5197.646328
236	5192.152533
237	5189.318578
238	5187.250523
239	5183.811775
240	5180.737799
241	5178.114903
242	5174.128233
243	5170.952063
244	5165.083956
245	5162.196075
246	5159.217973
247	5156.876577
248	5153.58811
249	5149.65613
250	5146.461263
251	5143.41149
252	5140.382428
253	5136.676749
254	5133.897747
255	5129.841516
256	5127.592918
257	5123.68509
258	5120.545454
259	5117.032726
260	5114.774533
261	5111.373211
262	5108.139303
263	5102.171853
264	5099.227259
265	5096.999885
266	5091.456867
267	5088.73797
268	5085.758382
269	5082.643053
270	5079.923071
271	5078.147559
272	5075.093097
273	5072.709114
274	5070.329086
275	5068.405
276	5065.995268
277	5062.214107
278	5057.928005
279	5055.522247
280	5052.792563
281	5050.278646
282	5048.392578
283	5045.45457
284	5040.620727
285	5036.096754
286	5033.545743
287	5029.655236
288	5027.04901
289	5023.782158
290	5021.540554
291	5019.681501
292	5016.832647
293	5013.828436
294	5012.13023
295	5009.893953
296	5007.479376
297	5003.76878
298	5001.678148
299	4999.382772
300	4997.679333
301	4995.402875
302	4992.863859
303	4989.638369
304	4985.680082
305	4983.584586
306	4981.144327
307	4979.432709
308	4977.277032
309	4975.372543
310	4970.533371
311	4968.569594
312	4967.176739
313	4964.74749
314	4962.324427
315	4960.418159
316	4958.685624
317	4954.927177
318	4952.867216
319	4950.497569
320	4948.623032
321	4946.499983
322	4944.15764
323	4942.751069
324	4939.584398
325	4937.843552
326	4935.367259
327	4934.048368
328	4932.580571
329	4929.960446
330	4927.522447
331	4925.523819
332	4923.448212
333	4921.595726
334	4919.444713
335	4917.454681
336	4916.025046
337	4913.428047
338	4912.111806
339	4910.281538
340	4908.246203
341	4906.012332
342	4902.814569
343	4900.550103
344	4898.608135
345	4896.450632
346	4894.306728
347	4892.695665
348	4890.374231
349	4888.660959
350	4886.790249
351	4884.544226
352	4882.372601
353	4880.512423
354	4876.799452
355	4874.899636
356	4873.108892
357	4869.969052
358	4868.188079
359	4863.865824
360	4860.507478
361	4858.604589
362	4857.110489
363	4855.347549
364	4853.279089
365	4851.668623
366	4848.840146
367	4846.260309
368	4843.440242
369	4841.637266
370	4840.050516
371	4838.482805
372	4837.179845
373	4835.803351
374	4833.7283
375	4831.915648
376	4829.875528
377	4827.747005
378	4825.995837
379	4824.144571
380	4821.903082
381	4818.877648
382	4817.358101
383	4815.942651
384	4813.918004
385	4811.898926
386	4810.428937
387	4808.922382
388	4807.151262
389	4805.382443
390	4800.885235
391	4799.63922
392	4796.992759
393	4795.415595
394	4794.070972
395	4792.129064
396	4790.202904
397	4788.911982
398	4787.585782
399	4786.018454
400	4784.463636
401	4783.205449
402	4780.02687
403	4779.083854
404	4778.144603
405	4773.597455
406	4769.92734
407	4766.60508
408	4764.886253
409	4763.154114
410	4761.567527
411	4760.094076
412	4758.683521
413	4756.905557
414	4755.545037
415	4751.791196
416	4748.198388
417	4746.161998
418	4744.722282
419	4743.194294
420	4742.124752
421	4740.821554
422	4739.260527
423	4737.728464
424	4736.350273
425	4735.195409
426	4733.602495
427	4732.366966
428	4730.968119
429	4729.833129
430	4728.603345
431	4727.17974
432	4725.936772
433	4724.832144
434	4721.392937
435	4719.913503
436	4718.809597
437	4717.316579
438	4715.93114
439	4714.155839
440	4712.911734
441	4711.910959
442	4710.779279
443	4709.52682
444	4708.178096
445	4706.847914
446	4705.765078
447	4704.848697
448	4703.398452
449	4701.683098
450	4700.093619
451	4698.399339
452	4697.289393
453	4695.931523
454	4694.52765
455	4693.082936
456	4691.745485
457	4689.657122
458	4688.628551
459	4687.44075
460	4686.273938
461	4684.433093
462	4683.302519
463	4682.282693
464	4681.295197
465	4680.14162
466	4679.119337
467	4677.608171
468	4676.241478
469	4675.590013
470	4674.784803
471	4673.663811
472	4672.725419
473	4668.536016
474	4666.911016
475	4665.745603
476	4664.057833
477	4662.954967
478	4661.371334
479	4659.911213
480	4656.918799
481	4653.429525
482	4652.330739
483	4651.578253
484	4650.653823
485	4649.40365
486	4646.095311
487	4642.309745
488	4641.07809
489	4639.65985
490	4638.191934
