iter	Passed	Remaining
0	9	95330
1	18	91264
2	27	90670
3	35	89269
4	43	87932
5	51	86405
6	60	86203
7	68	85403
8	76	84597
9	83	83745
10	92	83544
11	99	82640
12	107	82331
13	114	81789
14	121	81048
15	128	80138
16	136	79950
17	143	79851
18	151	79745
19	159	79572
20	167	79713
21	175	79777
22	183	79637
23	191	79548
24	199	79758
25	208	80005
26	216	80048
27	225	80216
28	234	80714
29	244	81145
30	253	81376
31	261	81562
32	270	81669
33	278	81737
34	287	81969
35	296	82147
36	305	82239
37	313	82285
38	322	82354
39	330	82380
40	339	82422
41	348	82530
42	357	82754
43	366	82832
44	374	82746
45	381	82648
46	389	82487
47	398	82538
48	406	82478
49	414	82446
50	422	82359
51	430	82331
52	439	82449
53	448	82552
54	456	82612
55	465	82654
56	473	82675
57	483	82798
58	492	82930
59	502	83201
60	510	83192
61	519	83217
62	527	83258
63	536	83334
64	544	83279
65	554	83420
66	562	83434
67	571	83417
68	579	83446
69	587	83404
70	596	83434
71	605	83455
72	613	83474
73	621	83425
74	631	83505
75	640	83616
76	649	83683
77	658	83791
78	667	83870
79	676	83885
80	685	83999
81	695	84121
82	704	84212
83	713	84234
84	723	84360
85	733	84510
86	741	84536
87	751	84614
88	760	84669
89	769	84765
90	779	84874
91	788	84878
92	798	85020
93	807	85096
94	817	85283
95	828	85477
96	837	85518
97	847	85669
98	856	85697
99	865	85674
100	873	85612
101	882	85599
102	891	85650
103	900	85666
104	908	85656
105	917	85647
106	926	85634
107	935	85652
108	944	85708
109	953	85686
110	961	85676
111	969	85611
112	977	85556
113	986	85581
114	995	85552
115	1003	85500
116	1011	85471
117	1020	85421
118	1028	85404
119	1036	85344
120	1044	85304
121	1053	85275
122	1062	85343
123	1072	85385
124	1080	85355
125	1089	85352
126	1097	85296
127	1106	85306
128	1114	85286
129	1122	85244
130	1131	85210
131	1139	85210
132	1147	85166
133	1156	85169
134	1166	85233
135	1177	85414
136	1187	85471
137	1196	85510
138	1206	85606
139	1216	85641
140	1225	85663
141	1235	85756
142	1245	85826
143	1253	85806
144	1261	85758
145	1270	85762
146	1279	85742
147	1288	85754
148	1296	85732
149	1305	85732
150	1314	85709
151	1322	85701
152	1331	85696
153	1341	85737
154	1350	85784
155	1359	85818
156	1368	85821
157	1377	85823
158	1386	85799
159	1395	85810
160	1404	85841
161	1413	85831
162	1422	85867
163	1431	85874
164	1441	85933
165	1451	85976
166	1460	85974
167	1469	86010
168	1478	86004
169	1487	86027
170	1497	86049
171	1506	86066
172	1515	86058
173	1523	86024
174	1531	86004
175	1540	86005
176	1549	85977
177	1557	85931
178	1565	85916
